353,ARUL KUMER TIMUR,SILIH NARA,ACEH TENGAH,11,24562
354,ARUL KUMER,SILIH NARA,ACEH TENGAH,11,24562
355,ARUL LATONG,BIES,ACEH TENGAH,11,24561
356,ARUL PERTIK,RUSIP ANTARA,ACEH TENGAH,11,24562
357,ARUL PINANG,PEUNARON,ACEH TIMUR,11,24461
358,ARUL PUTIH,SILIH NARA,ACEH TENGAH,11,24562
359,ARUL RELEM,SILIH NARA,ACEH TENGAH,11,24562
360,ARUSAN,KEMBANG TANJONG (TANJUNG),PIDIE,11,24182
361,ASAM PEUTEK,LANGSA LAMA,LANGSA,11,24416
362,ASAN BIDEUN,PEUSANGAN,BIREUEN,11,24261
363,ASAN KAREUNG,BLANG MANGAT,LHOKSEUMAWE,11,24375
364,ASAN KRUENG KREH,PIRAK TIMUR,ACEH UTARA,11,24386
365,ASAN KUMBANG,BANDAR DUA,PIDIE JAYA,11,24188
366,ASAN NICAH,KEUMALA,PIDIE,11,24165
367,ASAN RAMPAK,PEUDAWA,ACEH TIMUR,11,24454
368,ASAN SEULEUMAK,PAYA BAKONG,ACEH UTARA,11,24386
369,ASAN TANJONG,NURUSSALAM,ACEH TIMUR,11,24456
370,ASAN TUMPEUDENG,TITEUE,PIDIE,11,24165
371,ASAN,KEMBANG TANJONG (TANJUNG),PIDIE,11,24182
372,ASANTOLA,PULAU BANYAK BARAT,ACEH SINGKIL,11,24791
373,ASIR-ASIR ASIA,LUT TAWAR,ACEH TENGAH,11,24512
374,ASIR-ASIR,LUT TAWAR,ACEH TENGAH,11,24513
375,ASOE NANGGROE (ASO NANGGRO),JEUMPA,ACEH BARAT DAYA,11,23764
376,ASOI NANGGRO,MEURAXA,BANDA ACEH,11,23234
377,ATANG JUNGKET,BIES,ACEH TENGAH,11,24561
378,ATEUK ANGGOK,INGIN JAYA,ACEH BESAR,11,23371
379,ATEUK BLANG ASAN,SIMPANG TIGA,ACEH BESAR,11,23371
380,ATEUK CUT,SIMPANG TIGA,ACEH BESAR,11,23371
381,ATEUK DEAH TANOH,BAITURRAHMAN,BANDA ACEH,11,23244
382,ATEUK JAWO,BAITURRAHMAN,BANDA ACEH,11,23245
383,ATEUK LAM PUOT,SIMPANG TIGA,ACEH BESAR,11,23371
384,ATEUK LAM URA,SIMPANG TIGA,ACEH BESAR,11,23371
385,ATEUK LAMPHANG,SIMPANG TIGA,ACEH BESAR,11,23371
